"4089719707","0","1723859270","1723895360"
"2842150172","1","1723868873","1723895209"
"4089963328","0","1723868928","1723888340"
"4089799196","0","1723859040","1723883170"
"4089009116","0","1723860014","1723883071"
"4089786958","1","1723781822","1723877885"
"4090187895","0","1723858910","1723877776"
"4090188284","0","1723859000","1723877728"
"4087217119","0","1723261330","1723701741"
"4086437164","0","1723261502","1723701591"
"4087390210","1","1723436075","1723701521"
"1497247303","1","1723470372","1723699341"
"4088487955","0","1723515552","1723699328"
"4070846038","0","1723549278","1723699266"
"4088924730","0","1723608789","1723660242"
"4089034356","0","1723626578","1723660159"
"4089067655","0","1723632409","1723660072"
"4088998263","0","1723632432","1723660051"
"4088950760","1","1723632451","1723660014"
"4088478103","0","1723632576","1723659676"
"4084780790","1","1722829864","1723466714"
"4087474508","0","1723331624","1723455664"
"4087498654","0","1723436064","1723454136"
"4087363811","1","1723280013","1723453722"
"4086616150","0","1723119661","1723444676"
"4086195919","0","1723261560","1723444527"
"4066391333","0","1723425446","1723444285"
"4088032406","0","1723425416","1723443696"
"4013188189","0","1723374389","1723443613"
"4085848451","0","1722985560","1723391580"
"4086493115","0","1723101026","1723391455"
"4087300002","0","1723253175","1723391389"
"4087383666","0","1723280001","1723391248"
"4085133253","0","1723261944","1723389713"
"3991909063","1","1723270864","1723389364"
"4087494187","1","1723299655","1723384509"
"4087487857","0","1723299690","1723384378"
"4087644784","1","1723334401","1723384349"
"4087734902","0","1723359511","1723384143"
"4087735162","0","1723359584","1723384142"
"4087735284","0","1723359612","1723384140"
"4085231295","0","1723261849","1723352248"
"4087079008","0","1723331674","1723350347"
"4086025301","0","1723266198","1723289541"
"4087356987","1","1723269420","1723289118"
"4082457846","0","1722764485","1723285103"
"4085079140","0","1722912182","1723284846"
"4072665497","0","1722943093","1723284784"
"4085744166","0","1722948969","1723284778"
"4085177301","0","1722992049","1723283450"
"4086447859","0","1723083891","1723283330"
"4085908552","0","1722977243","1723281256"
"4087101722","0","1723239592","1723281056"
"4017368319","0","1723259587","1723281044"
"4087292043","0","1723261383","1723280864"
"4087028513","0","1723261392","1723280797"
"4085249880","0","1723261833","1723280694"
"4086008889","0","1723261617","1723280593"
"4086006909","0","1723261634","1723280459"
"4085375537","0","1723261953","1723279997"
"4087299681","0","1723253088","1723273133"
"4087299742","0","1723253102","1723271870"
"3411905656","0","1723253197","1723271829"
"4087258562","0","1723253218","1723271723"
"4087185785","0","1723253226","1723271491"
"4087300216","0","1723253236","1723271339"
"4086964515","0","1723244862","1723271249"
"4083240506","0","1722950468","1723204882"
"4086135304","0","1723026058","1723204728"
"4086426192","1","1723083842","1723204673"
"4005805467","0","1723103533","1723204615"
"4086587748","0","1723125016","1723204574"
"4084742426","0","1722829909","1722929973"
"4085279232","0","1722856245","1722929826"
"4083184471","0","1722411151","1722611263"
"4083329424","0","1722437945","1722611198"
"4082697636","0","1722337116","1722606736"
"4082637331","0","1722298638","1722593130"
"4082704889","1","1722337203","1722591011"
